Book_Title,Author,Barcode,Status,User
Alum Creek Dam Spillway Anchorage System,Robert Yost,2010000002124,Available,nan
Informational Profile of McMechen. WV Mudslide Impact,U.S Army Corps of Engineers,2010000002131,Available,nan
Flood Control Project Kansas River Basin,U.S Army Corps of Engineers,2010000002148,Available,nan
Whitney Point Dam,U.S Army Corps of Engineers,2010000002155,Available,nan
Walter F George Project Foundations and Earth Dikes,U.S Army Corps of Engineers,2010000002162,Available,nan
Report on Underseepage Treatment Appendices,U.S Army Corps of Engineers Baltimore District,2010000002179,Available,nan
Howard A Hanson Dam Project,U.S Army Corps of Engineers Seattle Disctict,2010000002186,Available,nan
Earth Manual - 1st Edition,,2010000002193,Available,nan
Earth Manual - 1st Edition,,2010000002209,Available,nan
Earth Manual - 2nd Edition,,2010000002216,Available,nan
Earth Manual - 2nd Edition,,2010000002223,Available,nan
Earth Manual - 3rd Edition Part 1,,2010000002230,Available,nan
Earth Manual - 3rd Edition Part 2,,2010000002247,Available,nan
Earth Manual - 3rd Edition Part 2,,2010000002254,Available,nan
Shear and Sliding Resistance Tests of Rock Joints for Forebay Dam - Grand Coulee Third Powerplant Project,"M. L. Haverland, G. L. Butler",2010000002261,Available,nan
"Manual of Soil Laboratory Testing, Soil Classification and Compaction Testing (Volume 1)",K. H. Head,2010000002285,Available,nan
"Manual of Soil Laboratory Testing, Permeability, Quick Shear Strength and Compressibility Tests (Volume 2)",K. H. Head,2010000002292,Available,nan
Soil Testing for Engineers,T. William Lambe,2010000002308,Available,nan
Guidelines for Performing Foundation Investigations for Miscellaneous Structures,,2010000002315,Available,nan
Guidelines for Performing Foundation Investigations for Miscellaneous Structures,,2010000002643,Available,nan
Guidelines for Performing Foundation Investigations for Miscellaneous Structures,,2010000002650,Available,nan
Becker Testing and Analysis Rountable,,2010000002322,Available,nan
Becker and Standard Penetration Tests (BPT-SPT) correlations with Consideration of Casing Friction,"Alex Sy, R. G. (Dick) Campanella",2010000002339,Available,nan
Energy Measurements and Correlations of the Standard Penetration Test (SBT) and The Becker Penetration Test (BPT),Alexander Sy,2010000002346,Available,nan
Report on the Post-Collapse Behaviour of Debris rom Rock Slope Failures,"J. Glastonbury, R. Fell, G. Mostyn",2010000002353,Available,nan
The Fourth Terzaghi Lecture: landslides During Earthquakes Due to Soil Liquefaction,H. Bolton Seed,2010000002360,Available,nan
"Rock Strength From Failure Cases: Left Bank Slope Stability Study Libby Dam and lake Koocanusa, Montana",James V. Hamel,2010000002377,Available,nan
Failure of Teton Dam: A Report of Finsings,"F. William Eikenberry, harold G. Arthur, Neil F. Bogner, Floyd P. Lacy Jr., Robert L. Schuster, Homer B. Willis",2010000002384,Available,nan
Failure of Teton Dam: Final Report,"F. William Eikenberry, Neil F, Bogner, Floyd P, lacy Jr., Robert L. Schuster, Homer B. Willis",2010000002391,Available,nan
Lessons from Dam Incidents,,2010000002407,Available,nan
Large Wave Tank Tests pf Riprap Stability,John P. Ahrens,2010000002414,Available,nan
